scientificName,vernacularName,phylum,class,order,family,WebLink,degreeOfEstablishment
Paspalum notatum var. saurae,Bahiagrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PANOS,widespread invasive (category E)
Paulownia tomentosa,Princess tree,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,https://plants.usda.gov/home/plantProfile?symbol=PATO2,widespread invasive (category E)
Persicaria hydropiper,Marshpepper knotweed,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,https://plants.usda.gov/home/plantProfile?symbol=POHY,widespread invasive (category E)
Persicaria maculosa,Spotted ladysthumb,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,https://plants.usda.gov/home/plantProfile?symbol=POPE3,widespread invasive (category E)
Phalaris aquatica,Bulbous canarygrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PHAQ,invasive (category D2)
Phleum pratense,Timothy grass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PHPR3,widespread invasive (category E)
Picea abies,Norway spruce,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIAB,widespread invasive (category E)
Pinus mugo,Mugo pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIMU80,invasive (category D2)
Pinus nigra,Austrian pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PINI,widespread invasive (category E)
Pinus sylvestris,Scots pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PISY,widespread invasive (category E)
